Token,TFIDF
historic,0.02784384046471079
democrat,0.02784384046471079
rule,0.02784384046471079
break,0.02784384046471079
truly,0.02784384046471079
veteran,0.02784384046471079
spirit,0.02784384046471079
saved,0.02784384046471079
share,0.02784384046471079
cycle,0.02784384046471079
public,0.02784384046471079
fact,0.02784384046471079
thousand,0.02784384046471079
poverty,0.02784384046471079
put,0.02784384046471079
applause,0.02784384046471079
record,0.02784384046471079
far,0.02784384046471079
private,0.02784384046471079
youth,0.022928454905089
fast,0.022928454905089
wonder,0.022928454905089
recent,0.022928454905089
general,0.022928454905089
fill,0.022928454905089
product,0.022928454905089
poorest,0.022928454905089
quiet,0.022928454905089
according,0.022928454905089
drive,0.022928454905089
individual,0.022928454905089
showed,0.022928454905089
learn,0.022928454905089
network,0.022928454905089
blessed,0.022928454905089
son,0.022928454905089
soul,0.022928454905089
murder,0.022928454905089
mother,0.022928454905089
mistake,0.022928454905089
thing,0.022928454905089
ready,0.022928454905089
almost,0.022928454905089
governor,0.022928454905089
electric,0.022928454905089
construction,0.022928454905089
light,0.022928454905089
deserve,0.022928454905089
form,0.022928454905089
food,0.022928454905089
path,0.022928454905089
enforcement,0.022928454905089
engagement,0.022928454905089
losing,0.022928454905089
legal,0.022928454905089
leaving,0.022928454905089
direct,0.022928454905089
disaster,0.022928454905089
judge,0.022928454905089
shot,0.022928454905089
anniversary,0.022928454905089
became,0.022928454905089
ordered,0.022928454905089
alliance,0.022928454905089
upon,0.022928454905089
solution,0.022928454905089
based,0.022928454905089
ban,0.022928454905089
promised,0.022928454905089
prime,0.022928454905089
renewal,0.022928454905089
anywhere,0.022928454905089
conflict,0.022928454905089
heart,0.022928454905089
ship,0.022928454905089
seen,0.02276416405481916
grow,0.02276416405481916
old,0.02276416405481916
done,0.02276416405481916
college,0.02276416405481916
principle,0.02276416405481916
young,0.02276416405481916
financial,0.02276416405481916
resource,0.02276416405481916
freedom,0.02276416405481916
back,0.02276416405481916
defend,0.02276416405481916
defense,0.02276416405481916
ensure,0.02276416405481916
give,0.02276416405481916
peace,0.02276416405481916
lower,0.02276416405481916
class,0.02276416405481916
would,0.02276416405481916
working,0.02276416405481916
month,0.02276416405481916
day,0.02276416405481916
nearly,0.02276416405481916
taxpayer,0.02276416405481916
disease,0.02276416405481916
strong,0.02276416405481916
could,0.02276416405481916
serve,0.02276416405481916
price,0.02276416405481916
promise,0.02276416405481916
largest,0.018562560309807193
develop,0.018562560309807193
creating,0.018562560309807193
given,0.018562560309807193
restore,0.018562560309807193
budget,0.018562560309807193
bridge,0.018562560309807193
represent,0.018562560309807193
kind,0.018562560309807193
challenge,0.018562560309807193
civil,0.018562560309807193
nato,0.018562560309807193
message,0.018562560309807193
case,0.018562560309807193
rebuilding,0.018562560309807193
vital,0.018562560309807193
advantage,0.018562560309807193
special,0.018562560309807193
deliver,0.018562560309807193
cure,0.018562560309807193
broken,0.018562560309807193
percent,0.018562560309807193
