Token,Count,minmax_norm,Index
ask,5,0.10526315789473684,116
still,5,0.10526315789473684,117
investment,5,0.10526315789473684,118
industry,5,0.10526315789473684,119
never,5,0.10526315789473684,120
restart,5,0.10526315789473684,121
like,5,0.10526315789473684,122
effort,5,0.10526315789473684,123
chamber,5,0.10526315789473684,124
united,5,0.10526315789473684,125
address,5,0.10526315789473684,126
well,4,0.07894736842105263,127
act,4,0.07894736842105263,128
across,4,0.07894736842105263,129
accountable,4,0.07894736842105263,130
commitment,4,0.07894736842105263,131
life,4,0.07894736842105263,132
old,4,0.07894736842105263,133
stand,4,0.07894736842105263,134
prosperity,4,0.07894736842105263,135
longer,4,0.07894736842105263,136
without,4,0.07894736842105263,137
easy,4,0.07894736842105263,138
cause,4,0.07894736842105263,139
difficult,4,0.07894736842105263,140
want,4,0.07894736842105263,141
may,4,0.07894736842105263,142
line,4,0.07894736842105263,143
renewable,4,0.07894736842105263,144
technology,4,0.07894736842105263,145
war,4,0.07894736842105263,146
send,4,0.07894736842105263,147
asked,4,0.07894736842105263,148
street,4,0.07894736842105263,149
teacher,4,0.07894736842105263,150
step,4,0.07894736842105263,151
build,4,0.07894736842105263,152
community,4,0.07894736842105263,153
security,4,0.07894736842105263,154
percent,4,0.07894736842105263,155
private,4,0.07894736842105263,156
concern,4,0.07894736842105263,157
men,4,0.07894736842105263,158
word,4,0.07894736842105263,159
administration,4,0.07894736842105263,160
break,4,0.07894736842105263,161
restore,4,0.07894736842105263,162
car,4,0.07894736842105263,163
look,4,0.07894736842105263,164
let,4,0.07894736842105263,165
republican,4,0.07894736842105263,166
worse,4,0.07894736842105263,167
generation,4,0.07894736842105263,168
taxpayer,4,0.07894736842105263,169
part,4,0.07894736842105263,170
moment,4,0.07894736842105263,171
able,4,0.07894736842105263,172
payment,4,0.07894736842105263,173
worker,4,0.07894736842105263,174
finally,4,0.07894736842105263,175
sense,4,0.07894736842105263,176
single,4,0.07894736842105263,177
hold,4,0.07894736842105263,178
support,4,0.07894736842105263,179
value,4,0.07894736842105263,180
working,4,0.07894736842105263,181
yet,4,0.07894736842105263,182
already,4,0.07894736842105263,183
nearly,4,0.07894736842105263,184
good,4,0.07894736842105263,185
pay,4,0.07894736842105263,186
receive,4,0.07894736842105263,187
action,4,0.07894736842105263,188
iraq,4,0.07894736842105263,189
national,4,0.07894736842105263,190
said,3,0.05263157894736842,191
dime,3,0.05263157894736842,192
medicare,3,0.05263157894736842,193
policy,3,0.05263157894736842,194
confront,3,0.05263157894736842,195
debate,3,0.05263157894736842,196
decision,3,0.05263157894736842,197
student,3,0.05263157894736842,198
half,3,0.05263157894736842,199
wait,3,0.05263157894736842,200
comprehensive,3,0.05263157894736842,201
growing,3,0.05263157894736842,202
major,3,0.05263157894736842,203
