Token,TFIDF
concern,0.039583479143994044
save,0.03929984889188482
bring,0.03929984889188482
state,0.03929984889188482
dollar,0.03929984889188482
power,0.03929984889188482
buy,0.03929984889188482
credit,0.03929984889188482
force,0.03929984889188482
president,0.03929984889188482
another,0.03929984889188482
century,0.03929984889188482
issue,0.03929984889188482
clean,0.03929984889188482
financial,0.03929984889188482
market,0.03929984889188482
efficient,0.03765496809778683
auto,0.03765496809778683
pushed,0.03765496809778683
solar,0.03765496809778683
dime,0.03765496809778683
depend,0.03765496809778683
depends,0.03765496809778683
govern,0.03765496809778683
layoff,0.03765496809778683
could,0.032749874076570686
tell,0.032749874076570686
never,0.032749874076570686
many,0.032749874076570686
place,0.032749874076570686
ask,0.032749874076570686
opportunity,0.032749874076570686
keep,0.032749874076570686
provide,0.032749874076570686
investment,0.032749874076570686
would,0.032749874076570686
effort,0.032749874076570686
united,0.032749874076570686
still,0.032749874076570686
lead,0.032749874076570686
called,0.032749874076570686
like,0.032749874076570686
last,0.032749874076570686
promise,0.032749874076570686
republican,0.03204623782648787
restore,0.03204623782648787
percent,0.03204623782648787
without,0.03204623782648787
technology,0.03204623782648787
private,0.03204623782648787
send,0.03204623782648787
break,0.03204623782648787
receive,0.03204623782648787
commitment,0.03204623782648787
look,0.03204623782648787
car,0.03204623782648787
line,0.03204623782648787
moment,0.03204623782648787
already,0.03204623782648787
asked,0.03204623782648787
hold,0.03204623782648787
step,0.03204623782648787
well,0.03204623782648787
action,0.03204623782648787
worse,0.03204623782648787
word,0.03204623782648787
whatever,0.029687609357995533
medicare,0.029687609357995533
confront,0.029687609357995533
wait,0.029687609357995533
absolutely,0.029687609357995533
includes,0.029687609357995533
critical,0.029687609357995533
housing,0.029687609357995533
decision,0.029687609357995533
foundation,0.029687609357995533
training,0.029687609357995533
letter,0.029687609357995533
struggling,0.029687609357995533
growing,0.029687609357995533
full,0.029687609357995533
source,0.029687609357995533
quality,0.029687609357995533
war,0.026199899261256546
street,0.026199899261256546
worker,0.026199899261256546
men,0.026199899261256546
may,0.026199899261256546
administration,0.026199899261256546
old,0.026199899261256546
working,0.026199899261256546
taxpayer,0.026199899261256546
stand,0.026199899261256546
want,0.026199899261256546
yet,0.026199899261256546
able,0.026199899261256546
build,0.026199899261256546
support,0.026199899261256546
security,0.026199899261256546
longer,0.026199899261256546
life,0.026199899261256546
value,0.026199899261256546
good,0.026199899261256546
let,0.026199899261256546
nearly,0.026199899261256546
finally,0.026199899261256546
national,0.026199899261256546
community,0.026199899261256546
generation,0.026199899261256546
pay,0.026199899261256546
part,0.026199899261256546
act,0.026199899261256546
across,0.026199899261256546
stopped,0.025103312065191223
mess,0.025103312065191223
wasteful,0.025103312065191223
complete,0.025103312065191223
weakened,0.025103312065191223
waste,0.025103312065191223
invented,0.025103312065191223
innovation,0.025103312065191223
wake,0.025103312065191223
crushing,0.025103312065191223
shape,0.025103312065191223
balance,0.025103312065191223
extremism,0.025103312065191223
mortgage,0.025103312065191223
carolina,0.025103312065191223
submit,0.025103312065191223
reflects,0.025103312065191223
quick,0.025103312065191223
reality,0.025103312065191223
quitter,0.025103312065191223
quitting,0.025103312065191223
quarter,0.025103312065191223
revive,0.025103312065191223
committed,0.025103312065191223
bear,0.025103312065191223
laying,0.025103312065191223
launched,0.025103312065191223
approach,0.025103312065191223
nobody,0.025103312065191223
eliminate,0.025103312065191223
though,0.025103312065191223
fraud,0.025103312065191223
found,0.025103312065191223
fiscal,0.025103312065191223
surely,0.025103312065191223
amid,0.025103312065191223
south,0.025103312065191223
lasting,0.025103312065191223
assure,0.025103312065191223
town,0.025103312065191223
tough,0.025103312065191223
boldly,0.025103312065191223
knew,0.025103312065191223
decline,0.025103312065191223
lose,0.025103312065191223
spur,0.025103312065191223
arrived,0.025103312065191223
area,0.025103312065191223
oil,0.025103312065191223
pile,0.025103312065191223
document,0.025103312065191223
probably,0.025103312065191223
watching,0.024034678369865902
